version,subject,condition,stim_set,total_choices,gini,entropy,max_choice,choice,choice_num
1,p101,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p101,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p101,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p101,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p101,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p101,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p101,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p101,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p102,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p102,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p102,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p102,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p102,active,2,8,0.25,1.320888343149322,3,choice1_num,2
1,p102,active,2,8,0.25,1.320888343149322,3,choice2_num,2
1,p102,active,2,8,0.25,1.320888343149322,3,choice3_num,1
1,p102,active,2,8,0.25,1.320888343149322,3,choice4_num,3
1,p103,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p103,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p103,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p103,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p103,active,2,8,0.5,1.0735428464085233,5,choice1_num,1
1,p103,active,2,8,0.5,1.0735428464085233,5,choice2_num,5
1,p103,active,2,8,0.5,1.0735428464085233,5,choice3_num,1
1,p103,active,2,8,0.5,1.0735428464085233,5,choice4_num,1
1,p104,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p104,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p104,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p104,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p104,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p104,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p104,active,2,8,0,1.3862943611198906,2,choice3_num,2
